collection.id,sample.ID,old.sample.ID,photo.ID.no,skeletal.sample,pub.author,pub.year,collection.period.from,collection.period.to,collection.date,extract.date,extract.method,collected.by,host.group,host.order,host.family,host.genus,host.species,host.ID.date,host.ID.by,host.ID.method,host.ID.changed.from.publication,host.ID.changed.from,host.morphotype,corallite size (mm),colony.sex,ocean,country,region,subregion,area,location,site,shelf.position,latitude,longitude,reef.type,avg.depth,depth.min,depth.max,sym.genus.1,sym.genus.2,sym.genus.3,sym.type.1,sym.type.2,sym.type.3,sym.type.ID.year,sym.type.author,sym.type.changed.from,comment.field.coral.ID,comment.symbiont.profile,comment.sample.processing,,
AU18,AU18_0058,,NS58,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Platygyra,Platygyra_daedalea,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,purple,,,,
AU18,AU18_0059,,NS59,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Mussidae,Acanthastrea,Acanthastrea_echinata,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,green,,,,
AU18,AU18_0060,,NS60,,Sampayo,unpublished,2018,2018,11/9/2018,,,Dalton,hard_coral,Scleractinia,Merulinidae,Cyphastrea,Cyphastrea_serailia,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,N_Solitary_Island,Anemone_Bay,outer,-29.923526,153.38793,,12,,,,,,,,,,,,brown,,,,
AU18,AU18_0061,,Split61,,Sampayo,unpublished,2018,2018,10/9/2018,Nov-23,Wayne/spin.col.cl.,Sims,hard_coral,Scleractinia,Poritidae,Porites,Porites_heronensis,,,,,,heronensis_morph1,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,brown,,,,
AU18,AU18_0062,,Split62,,Sampayo,unpublished,2018,2018,10/9/2018,Nov-22,Wizard/spin.col.cl.2024,Sims,hard_coral,Scleractinia,Dendrophylliidae,Turbinaria,Turbinaria_mesenterina,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,,,,,
AU18,AU18_0063,,Split63,,Sampayo,unpublished,2018,2018,10/9/2018,Nov-22,Wizard/spin.col.cl.2024,Sims,hard_coral,Scleractinia,Dendrophylliidae,Turbinaria,Turbinaria_mesenterina,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,,,,,
AU18,AU18_0064,,Split64,,Sampayo,unpublished,2018,2018,10/9/2018,Nov-22,Wizard/spin.col.cl.2024,Sims,hard_coral,Scleractinia,Dendrophylliidae,Turbinaria,Turbinaria_patula,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,,,,,
AU18,AU18_0065,,Split65,,Sampayo,unpublished,2018,2018,10/9/2018,Nov-22,Wizard/spin.col.cl.2024,Sims,hard_coral,Scleractinia,Dendrophylliidae,Turbinaria,Turbinaria_mesenterina,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,,,,,
AU18,AU18_0066,,Split66,,Sampayo,unpublished,2018,2018,10/9/2018,Nov-23,Wayne/spin.col.cl.,Sims,hard_coral,Scleractinia,Poritidae,Porites,Porites_heronensis,,,,,,heronensis_morph1,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,brown,,,,
AU18,AU18_0067,,Split67,,Sampayo,unpublished,2018,2018,10/9/2018,Nov-22,Wizard/spin.col.cl.2024,Sims,hard_coral,Scleractinia,Dendrophylliidae,Turbinaria,Turbinaria_patula,,,,,,,,,Pacific,Australia,Eastern_Australia,cNSW,SIMP,Split_Solitary_Island,Turtle_Cove,,-30.24195,153.181583,,12,,,,,,,,,,,,,,,,
